晴空 晚照
煙輕 風急
龍涎 鸜眼
一方 三炷
平田 曲沼
魚多 兔少
漫勞 可使
漁人 耕者
守株 結網
耕夫 釣客
箕裘 杖履
桑榆 杞梓
妖狐 狡兔
讀書 煮粥
左思 韓信
武能 文足
勝游 嘉遁
幽人 公子
玩情 適志
竹籬 柳陌
花衢 茅舍
危堤 遠岸
鶴長 鳧短
山雞 水雁
湯霓 漢露
桃林 虞阪
弟兄 叔侄
去官 讓國
五更 三月
春濃 天曉
海棠 芍藥
叢中 枝上
子規 蝴蝶
玄圭 白璧
獻瓜 投李
征鼙 禁鼓
鸞棲 鳳翥
有官 無客
斷機 截髪
惟聞 只有
早行 秋望
佳人 遠客
夢驚 目送
樓頭 枕上
五更 千里
虹霓 霹靂
杜鵑 孔雀
梅溪 桂嶺
高低 遠近
水寒 林茂
桃花 楊柳
和煙 流水
佳人 公子
追歡 倦繡
朱崖 赤岸
鷺飛 魚躍
金釵 寶鈿
芒鞋 草履
古賢 時輩
顏師 孟訓
文公 孔子
斜排 緩撫
琴弦 箏柱
類過 像流
鶯而 雁之
相挨 並語
荊釵 布襖
雁行 魚陣
蘭崖 榆塞
苔階 菊徑
詩成 樂奏
知音 造律
吏哀 人說
雲將 天欲
飛霜 作雨
庭前 塞上
有鴻 多蟻
陣先 行已
空階 破屋
桃枝 桂葉
墻蝸 砌蚓
高柴 季路
花藏 竹映
車輪 馬首
不容 終究
宮人 朝宰
錦衣 寶髻
宜簪 貴束
烏犀 白燕
之釵 之帶
蒼苔 碧草
書簽 筆架
三臺 兩曜
蓬萊 閬苑
薰風 皓月
吞蝗 卻馬
漢文 唐太
震驚 照耀
八荒 百里
轟轟 赫赫
麗天 出地
春雷 秋日
風雷 雨雪
書淫 傳癖
巖隈 水滸
歌臺 舞館
春棠 秋菊
調羹 作酒
固難 必要
花開 月滿
庾樓 唐苑
轟羯 據胡
床而 鼓以
奚催 可玩
犀杯 象箸
宮花 禦柳
高臺 峻閣
剜苔 剔蘚
雨前 霜後
孫弘 元亮
南窗 東閣
高張 平展
青茵 翠幄
庭前 野外
茸茸 鬱鬱
涼槐 軟草
麒麟 獬豸
韓盧 蘇雁
莊椿 陸橘
西秦 北魏
蟬鳴 鶯囀
溪流 野燒
焰騰 波皺
動有 行無
蹤居 時藏
有節 無廬
頌成 論著
錢神 酒德
嘉賓 好友
彈冠 結綬
青春 白日
龍麟 虎爪
柳塘 花徑
醉思 閑愛
登山 漉酒
日遲 雪冷
霜嚴 風暖
滿園 倚檻
松筠 花柳
各爭 同傲
天津 日觀
禪心 道眼
宮嬪 野婦
千鈞 萬石
滔滔 冉冉
子張 充國
功名 言行
忘情 篤志
詩書 官爵
羞沾 思入
聖賢 名利
纖塵 絕域
三軍 四輔
九經 三史
蘭芬 菊馥
遙聞 邇聽
召公 李廣
爭權 聞化
蜀民 晉土
衡峰 巫峽
夜深 秋早
雁飛 猿嘯
苦哀 高貼
楚天 巴地
修文 偃武
羊車 鶴駕
晚曛 朝旭
羊欣 馬燧
山中 樹下
當壚 施帳
解圍 沽酒
豐年 好景
有期 先兆
西郊 北嶺
幾枝 千頃
稼如 梅似
劉蕡 蔡惠
山明 水秀
三墳 五典
忠君 事父
雨晴 霜冷
詩才 酒量
洪深 俊逸
狐威 鳥翼
長隨 不假
虎也 鳳兮
洵眾 真百
獸尊 禽長
桃源 柳岸
鶯朋 燕友
寒暄 早暮
吟魂 醉膽
輕塵 積雪
絲絲 縷縷
輕煙 微雨
出關 詣闕
王通 老子
著道 獻太
平十 德五
千言 二策
花村 藥圃
高樓 邃閣
玄猿 赤豹
平原 曠野
匏巴 伯氏
萋萋 馥馥
早梅 芳草
春朝 秋夕
月明 花發
石家 蘇子
黃崗 金谷
啟芳 游赤
雞豚 犬馬
龍池 鳳沼
雲屯 雨驟
啼猿 唳鶴
柳搖 梅弄
春喧 歲冷
松筠 桃李
啼宵 噪晚
齊蟬 蜀鳥
年年 歲歲
秋來 春去
傷魂 泣恨
龍蟠 虎踞
龍舟 鳳輦
青鸞 白鶴
雕鞍 繡轂
魚游 鷺立
無魚 有酒
阮貂 馮鋏
文郎 丁固
夢松 畫竹
枝梢 柯葉
忽然 倏爾
長毫 生腹
齊桓 魯隱
寒氈 暖席
晨餐 夜飲
邯鄲 郟鄏
嘉禾 衰柳
杏花 楊柳
綠遮 紅映
海蟾 江水
流長 輪滿
澄明 環繞
似青 如白
玉盤 羅帶
彈丸 黑志
朱簾 畫棟
雕欄 彩檻
千官 百闢
懷仁 抱義
食豬 好馬
君王 處士
人稱 世仰
雙仙 連壁
霜菅 露草
歌廉 借寇
希顏 習孔
探鐶 奉壁
禮由 詩本
雞鳴 驢困
客方 人已
數朝 幾夜
霜飛 霧暗
豈無 已有
蒼鴻 玄豹
隱南 辭北
煙鬟 霧髻
鶯啼 鵲噪
雙鷴 獨鶴
銜環 結草
昆山 合浦
老萊 阮籍
舊能 新愛
窈窕 棲遲
避世 頌城
女雲 人草
衣木 鬢花
懲奸 賞善
愁中 夢裏
癡頑 巧慧
征蠻 使越
淫聲 離曲
小兒 驍將
袍披 衣著
竹亭 茅舍
無人 有客
山川 天地
山川 草木
青田 赤壁
苔錢 木筆
金城 玉井
誰家 何處
春朝 秋夜
練橫 珠綴
花梢 樹杪
幾絲 千點
薔薇 楊柳
殘煙 香露
孤妍 眾醜
鶯簧 蝶板
龍淵 虎穴
鳶肩 鼠目
春園 秋沼
烏紗 白羽
頻揮 半墜
長川 野店
幾家 一帶
鴨頭 羊角
風搖 波泛
賣魚 沽酒
千年 一日
堯天 舜日
秦川 蜀水
林泉 澗壑
揮戈 持管
中秋 寒食
芳辰 佳節
壺中 夢裏
榮華 日月
安閑 飄忽
枕中 市上
之仙 之客
山遙 水遠
松軒 竹檻
風謠 雪賦
香消 燭滅
明蟾 驟雨
關河 樓閣
天涼 地隔
一雙 幾點
鷺鷥 鸂鶒
春朝 日暮
常飛 頻泛
綠楊 紅蓼
虞韶 趙瑟
軺車 驛騎
瓊瑤 錦繡
顏瓢 範甑
寒天 夜月
佳人 舞女
腰肢 顏貌
閑人 豪客
尋春 避暑
東堂 南陌
草青 蕉綠
影搖 香陣
春宵 夏晝
雷聲 電影
禾苗 麥穗
垂髫 總角
露桃 風柳
周公 賈誼
賦成 詩就
長亭 幽寺
尋僧 送客
長蛟 巨蟒
天文 地理
螵蛸 蟋蟀
東膠 北學
築臺 成屋
邊韶 潘岳
不忘 常被
滋生 撫養
群黎 萬物
方知 已見
國家 天地
泰交 隆治
鵲巢 麟藪
風聲 月色
桑苞 麥穗
商郊 楚甸
五音 萬慮
楚曹 葛被
湯征 齊伐
淡而 高矣
若天 如水
實為 洵是
聖人 君子
神交 大道
嘉肴 旨酒
桃紅 柳綠
松梢 竹葉
東郊 北野
白駒 黃鳥
柴門 花圃
春殘 夜永
樓前 墻畔
佳人 公子
天高 地迥
峨冠 博帶
緋袍 紫綬
猿猱 虎兕
武夫 野婦
春風 秋雨
一川 兩岸
鴨頭 螺髻
青濃 綠膩
溪中 樓外
晚山 春水
半篙 千仞
征袍 破斧
梧桐 橘柚
蓬蒿 枳棘
葡萄 橄欖
一椽 百尺
劉伶 李白
能詩 愛酒
勢分 禮別
尊卑 高下
朝東 拱北
眾星 萬水
自滔 常燦
羊羔 犬子
春分 夏至
山濤 谷水
臣勞 主逸
水流 山聳
塵生 雨打
村童 邊將
忠臣 俊士
居官 報國
誓殫 榮引
鵷鴻 犬馬
之勞 之序
煙蘿 雪竹
新歡 舊恨
高歌 痛飲
枯荷 媚柳
荷盤 柳線
觀棋 飲酒
豈知 不覺
江樓 山寺
清幽 宏敞
遙臨 直踞
千尋 萬傾
煙波 雲嶺
途歌 里詠
宦情 旅況
銅駝 銀鹿
金科 玉律
古堤 曲沼
引車 命駕
呂因 藺為
一輪 千尺
水簾 月鏡
乾坤 今古
無人 何匠
用功 能手
池荷 徑菊
酒闌 歌罷
風和 日暖
觀鵝 放鶴
史才 刀筆
寄梅 種橘
猶嫌 誰信
江頭 林下
風生 日出
蜂衙 蟻陣
頳鱗 白鷺
昏鴉 凍雀
吹笳 品笛
秋涼 春暖
月移 雨長
苔痕 梅影
遲遲 颯颯
秋風 晚照
動江 度城
頭之 上之
琵琶 篳篥
黃花 翠竹
松杉 杞梓
桑麻 菽麥
烹茶 煮酒
魚游 鷺立
一畦 百畝
風翻 雨熟
偶擎 閑捧
竹根 桐葉
啜盧 飲李
白一 同七
碗之 壺之
流霞 落日
酒錢 詩債
松花 柏葉
丹砂 碧玉
設橋 開道
洛陽 楚國
大夫 才子
藥爐 書篋
琴囊 茶鼎
花香 柳影
詞人 賦客
三王 五帝
晨妝 晚眺
絳霄 綠野
秋添 寒集
謝莊 潘嶽
客斟 人浴
蘭湯 菊酒
興常 事不
忘於 記於
重陽 端午
隋唐 晉宋
奇花 異卉
秋霜 夏日
天長 地久
一堤 三徑
聽鐘 聞鼓
塞兵 宮女
早朝 春飲
方歸 初退
袞衣 紗帽
半淹 微惹
禦爐 鄰舍
垂楊 嚲柳
仙宮 梵宇
長廊 小閣
螳螂 蟋蟀
暖煙 寒燭
韓生 伍子
欲酬 嘗竊
一年 三月
韶光 好景
難忘 常憶
花明 橘綠
橙黃 柳媚
無聲 有影
蜂腰 蝶翅
餘酲 宿醉
同行 獨臥
寒冰 秋月
一樽 萬卷
書容 酒待
意驕 心侈
唐玄 陳主
飽聞 厭看
霓裳 玉樹
之賡 之曲
先庚 後甲
鼓琴 舍瑟
騎鯨 搏虎
金莖 玉宇
花間 柳內
醉中 貧裏
每甘 厭聽
夢驚 腸斷
秋閨 曉枕
殘蟾 涼吹
已侵 猶照
半窗 重被
金聲 玉振
雉城 雁塞
葵傾 柳梟
桓箏 阮杖
墨呼 紙號
風搓 露浥
好花 細柳
哦成 撫動
琴弦 詩句
禪燈 漁火
唐詩 漢史
仙經 釋典
風亭 月榭
一輪 幾點
楚人 晉士
只知 誰識
吮毫 繡倦
佳人 畫者
思將 慵把
鴛鴦 孔雀
寫為 文作
紆青 佩紫
棋枰 筆架
雷霆 雨雪
沙汀 水岸
天臺 劍閣
照書 傳信
子卿 車胤
澄澄 冉冉
白雲 碧水
宵中 夜半
高遮 寒映
一天 千里
鶺鴒 鸚鵡
黃茅 白荻
青萍 綠草
山亭 水閣
渚蓮 岸柳
堯時 漢代
宮中 階畔
半幅 一枰
決勝 通靈
蒼鷹 白犬
葛巾 藜杖
池冰 澗水
鵬鵾 燕雀
爐中 窗下
畫屏 織錦
逐梭 誤筆
迎仙 賓客
劉公 漢帝
宮中 座上
滿斟 高插
九光 三雅
心朋 面友
春殘 夏老
晨興 夜寢
雲蒸 霞蔚
寒堆 春泮
周公 亞父
憤生 誓死
侍中 將軍
元暉 盧昶
難逃 莫怪
人譏 世號
作饑 為餓
同登 獨步
吟哦 諷詠
尋僧 訪友
蒼鷹 紫鵠
鳥寒 魚暖
何郎 揚子
口中 鼻上
顛猿 巨鯉
躍池 飲澗
掛百 翻幾
重之 尺之
垂藤 密藻
春游 夜宴
燕關 楚水
吳牛 蜀犬
白頭 青眼
馬遷 孔子
思歸 適興
子猷 王粲
筵前 窗下
佳人 舞妓
曲終 妝罷
重將 還要
錦纏 金插
騎牛 策馬
毫尖 筆底
雕樓 綺閣
啼鳩 語燕
客乘 人泛
碧池 綠野
耕夫 漁父
雲霄 波浪
千層 萬里
驚看 喜見
蛟龍 雕鶚
橫秋 得水
漁舟 酒艇
金龍 彩鳳
童牛 豶豕
三秋 四季
峰巒 江漢
萬里 一灣
綠水 青山
神龜 龍馬
呈河 出洛
瑤琴 錦瑟
曉耕 寒釣
秋砧 晚笛
曾參 閔損
秦王 虞帝
四知 三獻
卞和 楊震
沉沉 寂寂
秋朝 春夜
砌花 庭葉
因霜 隨月
轉清 摧嫩
山禽 野獸
犍牛 牝馬
山深 水淺
渾金 璞玉
艷紅 濃綠
有風 不雨
湯王 楚子
游子 書生
惜壯 愛良
宵光 歲韶
華寸 景一
刻千 陰尺
丹心 素志
千愁 一醉
龍吟 虎嘯
來今 往古
天寒 歲旱
儂知 渠說
子規 孔雀
牛郎 屈子
沉江 渡渚
天南 地北
佛堂 仙洞
禪庵 道院
雲潭 雪嶺
鳳飛 虎視
筵前 窗下
書生 酒客
綠桑 白草
滿郊 盈畝
春時 秋日
牧征 供農
婦之 人之
恩覃 德被
權衡 尺度
雲庵 雪寺
無慚 不愧
魏徵 王衍
丹荔 紫梨
摘去 傳來
養狙 攘雞
非君 是山
公之 子所
為擔 智止
用朝 當月
宜男 貝母
移山 浚井
言甘 諫苦
周堪 魏尚
海門 山市
舊交 新締
直投 猶脫
永和 文逹
淹通 博雅
銀蟾 玉兔
醉侯 詩史
眉尖 眼底
瓜甜 李苦
畫堂 酒市
引壺 橫槊
賦詩 酌酒
五行 兩曜
迭明 式序
水下 日東
生而 潤而
火上 月西
朱簾 繡幕
探珠 獻玉
魚潛 鷺立
腰鐮 手劍
燕巢 蛛網
弈棋 奪槊
至三 第一
西樓 南浦
客歸 人悄
彎彎 湛湛
春波 夜月
一鉤 千頃
閭閻 市井
投簪 結綬
掀髯 握髮
江淹 石碏
宵征 夜飲
禮多 心褊
小人 君子
吉兇 美刺
殊文 異畫
三緘 一啟
煙蓑 雨笠
風帆 月傍
松杉 柳杞
情深 淚痛
周朝 漢室
既能 何用
豎竿 破的
而探 以掛
犢鼻 牛心
豪矜 貧笑
阮咸 王濟
渾瑊 衛瓘
雀羅 魚網
蒼崖 翠巘
書函 筆格
蕊香 泥軟
王家 兇孽
誓清 能義
山僧 溪叟
新居 久隱
梵宮 漁舍
清幽 寂寞
倚雲 臨水
言讒 議鯁
行舟 御馬
民巖 俗弊
書緘 史冊
塞城 江浦
泰山 河水
一源 萬仞
周因 鄭為
武公 巷伯
歌貝 賦緇
衣而 錦以
傷讒 美德
